time,a_x,a_y,a_z,g_x,g_y,g_z,temp
2021-01-31T16:31:45.649150236Z,-1.812563,-0.685544,10.285547,2108.750000,-704.375000,-1470.000000,10.437500
2021-01-31T16:31:45.665342593Z,-0.908076,-0.171087,11.151750,2638.125000,-5595.625000,-875.000000,10.500000
2021-01-31T16:31:45.681429536Z,-1.645066,-1.415355,9.883554,2874.375000,-245.000000,-1050.000000,10.500000
2021-01-31T16:31:45.697572311Z,-1.184447,-0.945165,11.246266,1754.375000,-6234.375000,-1093.750000,10.500000
2021-01-31T16:31:45.713589048Z,-1.323231,-1.452443,10.541580,1859.375000,-1680.000000,-896.875000,10.437500
2021-01-31T16:31:45.729587504Z,-1.432104,-1.231107,8.970692,1785.000000,-2870.000000,-1093.750000,10.375000
2021-01-31T16:31:45.745583824Z,-0.915255,-1.307678,10.004392,1277.500000,-1575.000000,-1233.750000,10.375000
2021-01-31T16:31:45.761579780Z,-1.472782,-1.257428,9.505488,787.500000,1675.625000,-1299.375000,10.375000
2021-01-31T16:31:45.777572611Z,-0.927219,-0.952343,8.807980,993.125000,-3180.625000,-1141.875000,10.437500
2021-01-31T16:31:45.793568776Z,-1.531406,-0.625723,12.275180,1141.875000,1404.375000,-1465.625000,10.437500
2021-01-31T16:31:45.809566294Z,-2.226521,-0.364905,10.682757,2458.750000,-735.000000,-966.875000,10.437500
2021-01-31T16:31:45.825563083Z,-1.255035,0.345763,10.078569,835.625000,-10110.625000,-603.750000,10.500000
2021-01-31T16:31:45.841556487Z,-1.574477,-0.741775,10.342977,3036.250000,1968.750000,-910.000000,10.437500
2021-01-31T16:31:45.857572703Z,-1.750350,-0.674776,10.290334,3622.500000,2498.125000,-1028.125000,10.375000
2021-01-31T16:31:45.873571784Z,-0.982254,-0.571885,9.997212,2795.625000,-3762.500000,-1071.875000,10.375000
2021-01-31T16:31:45.889567115Z,-1.657030,-1.690529,10.482956,3963.750000,-385.000000,-835.625000,10.500000
2021-01-31T16:31:45.905565467Z,-0.843470,-1.518246,9.876375,3644.375000,-3850.000000,-774.375000,10.500000
2021-01-31T16:31:45.921559183Z,-0.865005,-1.447658,9.609575,1666.875000,-3762.500000,-993.125000,10.437500
2021-01-31T16:31:45.937582587Z,-0.984646,-1.618744,8.833105,2703.750000,-472.500000,-1093.750000,10.500000
2021-01-31T16:31:45.953577136Z,-1.365105,-1.478764,10.015160,1391.250000,-2655.625000,-1264.375000,10.437500
2021-01-31T16:31:45.969575072Z,-0.911665,-1.046860,10.321441,1242.500000,-2524.375000,-1268.750000,10.437500
2021-01-31T16:31:45.985574205Z,-1.537389,-0.863809,9.458827,1386.875000,83.125000,-1404.375000,10.437500
2021-01-31T16:31:46.001570317Z,-0.927219,-0.447458,10.063015,1487.500000,-3066.875000,-1203.125000,10.437500
2021-01-31T16:31:46.017575283Z,-0.837488,-1.487139,10.780862,1863.750000,-3058.125000,-1176.875000,10.500000
2021-01-31T16:31:46.033572801Z,-1.625923,-0.428315,9.790234,1303.750000,949.375000,-1356.250000,10.500000
2021-01-31T16:31:46.049565476Z,-0.985843,-0.489332,11.393425,1491.875000,-4484.375000,-1181.250000,10.437500
2021-01-31T16:31:46.065564557Z,-1.348356,-0.766900,10.637293,1925.000000,131.250000,-1115.625000,10.500000
2021-01-31T16:31:46.081562700Z,-1.607977,-0.893719,8.904889,861.875000,-96.250000,-1417.500000,10.437500
2021-01-31T16:31:46.097569437Z,-1.207179,-0.786042,10.235298,1623.125000,-4230.625000,-74.375000,10.437500
2021-01-31T16:31:46.113564924Z,-0.741775,-1.044467,9.450454,2664.375000,-2200.625000,-831.250000,10.437500
2021-01-31T16:31:46.129558536Z,-1.178465,-0.666401,11.083554,1907.500000,-1986.250000,-2104.375000,10.437500
2021-01-31T16:31:46.145554909Z,-1.153341,-0.879362,9.773483,813.750000,5162.500000,-1522.500000,10.500000
2021-01-31T16:31:46.161550708Z,-1.300499,-0.918844,11.767902,3071.250000,-8400.000000,-673.750000,10.500000
2021-01-31T16:31:46.177629683Z,-0.999003,-0.736989,10.112068,2957.500000,761.250000,-1041.250000,10.437500
2021-01-31T16:31:46.193697668Z,-1.138984,-1.056431,9.870394,2078.125000,-1150.625000,-1369.375000,10.437500
2021-01-31T16:31:46.209790340Z,-0.119641,-0.947558,9.969695,3587.500000,-2563.750000,-813.750000,10.437500
2021-01-31T16:31:46.225862283Z,-0.879362,-1.915455,9.638289,2231.250000,2165.625000,-1260.000000,10.437500
2021-01-31T16:31:46.241866259Z,-0.989432,-1.208375,10.003194,2423.750000,-700.000000,-1378.125000,10.500000
2021-01-31T16:31:46.257861903Z,-1.202393,-0.669990,8.554340,1710.625000,1155.000000,-1338.750000,10.437500
2021-01-31T16:31:46.274014938Z,-0.503689,-0.954736,10.698310,1872.500000,-6641.250000,-1198.750000,10.500000
2021-01-31T16:31:46.290011727Z,-0.839881,-1.054038,9.293723,1032.500000,2515.625000,-1356.250000,10.500000
2021-01-31T16:31:46.306008255Z,-1.184447,-0.558724,9.854840,958.125000,-2572.500000,-1120.000000,10.375000
2021-01-31T16:31:46.322001034Z,-0.957129,-0.906880,10.432706,1216.250000,-783.125000,-1233.750000,10.437500
2021-01-31T16:31:46.338001521Z,-1.210768,-0.180658,10.718649,1544.375000,389.375000,-2231.250000,10.500000
2021-01-31T16:31:46.354004717Z,-1.154537,-0.537189,10.216157,1168.125000,-2795.625000,-1150.625000,10.500000
2021-01-31T16:31:46.370002704Z,-0.719043,-0.244068,10.753345,2375.625000,-1220.625000,-940.625000,10.500000
2021-01-31T16:31:46.385997982Z,-0.977468,-0.756132,9.797412,1688.750000,-2003.750000,-1120.000000,10.500000
2021-01-31T16:31:46.401994251Z,-0.815953,-1.036092,9.812965,1373.750000,-1155.000000,-1281.875000,10.500000
2021-01-31T16:31:46.417990467Z,-0.809970,-0.620937,9.364311,1938.125000,-2244.375000,-1181.250000,10.500000
2021-01-31T16:31:46.434001214Z,-0.679562,-1.024128,10.679168,2034.375000,-3797.500000,-1093.750000,10.437500
2021-01-31T16:31:46.449995451Z,-0.614955,-1.183251,10.231709,2130.625000,-621.250000,-1028.125000,10.500000
2021-01-31T16:31:46.465989689Z,-0.802792,-1.105484,9.960124,1526.875000,-1513.750000,-1198.750000,10.500000
2021-01-31T16:31:46.481981478Z,-0.758525,-0.803988,10.322637,2143.750000,-1824.375000,-1124.375000,10.625000
2021-01-31T16:31:46.497991079Z,-0.896112,-1.326820,9.848858,2257.500000,-940.625000,-1216.250000,10.562500
2021-01-31T16:31:46.513997868Z,-0.546760,-0.903291,10.191031,1916.250000,-2835.000000,-1203.125000,10.500000
2021-01-31T16:31:46.529992626Z,-0.616152,-1.105484,10.360922,2865.625000,-656.250000,-1111.250000,10.500000
2021-01-31T16:31:46.545988374Z,-0.878166,-0.966700,10.247264,2362.500000,-1837.500000,-1190.000000,10.437500
2021-01-31T16:31:46.561986569Z,-0.658026,-0.642473,9.830912,2463.125000,-1513.750000,-1155.000000,10.437500
2021-01-31T16:31:46.577991691Z,-0.922433,-1.440479,9.896714,2699.375000,-166.250000,-1198.750000,10.437500
2021-01-31T16:31:46.593999834Z,-0.508475,-1.006182,10.447062,3228.750000,-2620.625000,-1194.375000,10.437500
2021-01-31T16:31:46.609995686Z,-0.543171,-0.966700,9.812965,2358.125000,-3023.125000,-1133.125000,10.500000
2021-01-31T16:31:46.625989663Z,-0.809970,-1.039681,10.058230,2480.625000,-1701.875000,-1001.875000,10.562500
2021-01-31T16:31:46.641984941Z,-0.940379,-0.825524,9.716056,1719.375000,-293.125000,-1255.625000,10.437500
2021-01-31T16:31:46.657995689Z,-0.628116,-1.037289,10.216157,2095.625000,-3281.250000,-1268.750000,10.437500
