time,a_x,a_z,a_y,g_x
2021-01-31T16:27:31.306551267Z,-0.642473,10.439885,-1.021735,1338.75
2021-01-31T16:27:31.322549943Z,-0.271585,10.65165,-0.918844,1194.375
2021-01-31T16:27:31.338547838Z,-0.67358,10.448259,-1.087538,1614.375
2021-01-31T16:27:31.354543076Z,-0.87697,9.482756,-1.563709,888.125
2021-01-31T16:27:31.370533419Z,0.411566,9.013763,-0.019143,2051.875
2021-01-31T16:27:31.386526575Z,-0.619741,11.629118,-0.747757,3736.25
2021-01-31T16:27:31.402520772Z,-1.411765,9.943375,-0.595813,3425.625
2021-01-31T16:27:31.418516688Z,0.659223,10.704292,-2.847459,2428.125
2021-01-31T16:27:31.434512083Z,-0.745364,8.864211,-1.692922,3158.75
2021-01-31T16:27:31.450512530Z,-0.715454,8.819944,-1.214357,1837.5
2021-01-31T16:27:31.466517716Z,0.384048,10.849058,-0.7669,1408.75
2021-01-31T16:27:31.482513215Z,-0.842274,9.067601,-0.93679,2839.375
2021-01-31T16:27:31.498559078Z,-0.772882,10.725827,-1.194018,2143.75
2021-01-31T16:27:31.514555983Z,-0.361316,9.893126,-0.965504,1605.625
2021-01-31T16:27:31.530550805Z,-0.922433,9.257831,-0.861416,1194.375
2021-01-31T16:27:31.546546304Z,0.010768,10.521241,-0.459422,2765
2021-01-31T16:27:31.562542168Z,-0.464208,10.871789,-0.439083,2786.875
2021-01-31T16:27:31.578538136Z,-0.553938,10.805987,-1.018146,2493.75
2021-01-31T16:27:31.594531448Z,-1.345963,10.048658,-1.024128,2008.125
2021-01-31T16:27:31.610636632Z,-0.837488,8.517252,-0.748954,2988.125
2021-01-31T16:27:31.626774992Z,-0.340977,9.694521,-0.598206,2695
2021-01-31T16:27:31.642971840Z,-0.995414,10.126426,-0.965504,2975
2021-01-31T16:27:31.659223323Z,-0.594616,9.046066,-1.062413,3154.375
2021-01-31T16:27:31.675445014Z,-0.325424,11.20798,-2.0004,2126.25
2021-01-31T16:27:31.691589364Z,-0.963111,10.334601,-1.153341,2848.125
2021-01-31T16:27:31.707726370Z,-1.204786,8.331808,-0.357727,1028.125
2021-01-31T16:27:31.723853741Z,-0.15673,10.080962,-1.271785,2051.875
2021-01-31T16:27:31.739942311Z,-0.557528,11.109876,-0.868595,3635.625
2021-01-31T16:27:31.756113639Z,-0.832702,9.046066,-0.562313,1631.875
2021-01-31T16:27:31.772077473Z,-0.338584,10.823934,-1.021735,2406.25
2021-01-31T16:27:31.788040889Z,-0.678365,9.852448,-0.868595,3128.125
2021-01-31T16:27:31.804093731Z,-0.308674,10.054641,-1.252643,1413.125
2021-01-31T16:27:31.820057512Z,-0.105284,10.066606,-1.194018,2909.375
2021-01-31T16:27:31.836045146Z,-0.4666,10.162319,-1.194018,2603.125
2021-01-31T16:27:31.852007626Z,-0.547956,10.448259,-1.12702,1846.25
2021-01-31T16:27:31.867967969Z,-0.486939,10.174281,-0.92004,2187.5
2021-01-31T16:27:31.883939250Z,-0.366102,10.599008,-0.839881,1995
2021-01-31T16:27:31.900013341Z,-0.303888,10.662418,-0.783649,1990.625
2021-01-31T16:27:31.915978529Z,-0.547956,10.820344,-0.896112,2213.75
2021-01-31T16:27:31.931944601Z,-0.413958,10.740184,-0.695115,1960
2021-01-31T16:27:31.947934111Z,-0.53001,10.622936,-0.926022,2476.25
2021-01-31T16:27:31.963895757Z,-0.532403,10.24846,-0.832702,2502.5
2021-01-31T16:27:31.979855944Z,-0.476172,10.545169,-0.880559,2852.5
2021-01-31T16:27:31.995830298Z,-0.460618,10.060623,-0.735793,2870
2021-01-31T16:27:32.011836110Z,-0.206979,10.171888,-0.87697,3101.875
2021-01-31T16:27:32.027802651Z,-0.564706,10.169496,-1.086342,3198.125
2021-01-31T16:27:32.043765442Z,-0.319442,10.033106,-1.26341,2730
2021-01-31T16:27:32.059729587Z,-0.415155,9.96132,-1.066002,2782.5
2021-01-31T16:27:32.075692743Z,-0.465404,9.640682,-1.112662,2152.5
2021-01-31T16:27:32.091650951Z,-0.457029,10.059426,-1.043271,1925
2021-01-31T16:27:32.107614419Z,-0.525225,9.958927,-1.036092,2126.25
2021-01-31T16:27:32.123576117Z,-0.477368,10.03191,-0.827917,2091.25
2021-01-31T16:27:32.139584740Z,-0.410369,10.191031,-0.825524,2060.625
2021-01-31T16:27:32.155636852Z,-0.528814,10.473385,-0.825524,2423.75
2021-01-31T16:27:32.171646673Z,-0.541974,10.167104,-0.726222,2191.875
2021-01-31T16:27:32.187616183Z,-0.348156,10.451849,-0.97029,2257.5
2021-01-31T16:27:32.203581839Z,-0.2668,10.375278,-0.90688,2703.75
2021-01-31T16:27:32.219548849Z,-0.337388,10.362118,-0.999003,2165.625
2021-01-31T16:27:32.235510494Z,-0.301496,9.940981,-0.929612,2266.25
2021-01-31T16:27:32.251472869Z,-0.531207,10.115658,-0.762114,2100
2021-01-31T16:27:32.267434045Z,-0.251246,10.091729,-1.070788,2231.25
2021-01-31T16:27:32.283397514Z,-0.251246,10.134801,-0.849452,2200.625
2021-01-31T16:27:32.299358326Z,-0.422333,10.325029,-0.690329,1946.875
2021-01-31T16:27:32.315349710Z,-0.318245,10.246067,-0.630509,2060.625
2021-01-31T16:27:32.331311460Z,-0.254836,10.551151,-0.881755,2248.75
2021-01-31T16:27:32.347271282Z,-0.236889,10.658829,-0.787239,1837.5
2021-01-31T16:27:32.363231938Z,-0.348156,10.521241,-0.836291,1907.5
2021-01-31T16:27:32.379195979Z,-0.239282,10.463813,-0.771685,1820
2021-01-31T16:27:32.395155437Z,-0.334995,10.116854,-0.823131,1833.125
2021-01-31T16:27:32.411118072Z,-0.236889,10.533205,-0.771685,2065
2021-01-31T16:27:32.427090030Z,-0.278764,10.201799,-0.370888,2213.75
2021-01-31T16:27:32.443050165Z,-0.300299,10.423136,-0.677169,2003.75
2021-01-31T16:27:32.459026341Z,-0.180658,10.320245,-0.821935,2384.375
2021-01-31T16:27:32.475048454Z,-0.228515,10.265208,-0.757328,2323.125
2021-01-31T16:27:32.491045567Z,-0.165105,10.080962,-0.842274,2362.5
2021-01-31T16:27:32.507040284Z,-0.229711,10.609775,-0.835095,2498.125
2021-01-31T16:27:32.528394612Z,-0.116052,10.183852,-0.815953,2174.375
2021-01-31T16:27:32.544441307Z,-0.324227,10.392029,-0.969093,2524.375
2021-01-31T16:27:32.560438160Z,-0.258425,10.242477,-0.84347,2187.5
2021-01-31T16:27:32.576434805Z,-0.145962,10.43151,-0.851845,2310
2021-01-31T16:27:32.592432543Z,-0.190229,10.197014,-0.789631,2436.875
